year,candidate,star_candidate
2008,La Frenie Stephen,FALSE
2011,Lamba Priti,FALSE
2008,Lang Andrew,FALSE
2011,Lang Andrew,FALSE
2008,Lau Benson,FALSE
2006,Laxton Dorothy,FALSE
2011,Layton Jack,TRUE
2006,Layton Jack,TRUE
2008,Layton Jack,TRUE
2006,Lee Derek,FALSE
2008,Lee Derek,FALSE
2011,Leung Chungsen,FALSE
2011,Lin Nick,FALSE
2006,Lin Nick,FALSE
2006,Love Jim,FALSE
2011,Luisi Simon,FALSE
2008,Luisi Simon,FALSE
2011,Manfrini Giulio,FALSE
2008,Manfrini Giulio,FALSE
2006,Maple Casey,FALSE
2008,Markovski Zoran,FALSE
2006,McDermott Eugene,FALSE
2008,McDermott Eugene,FALSE
2011,McGarva Jim,FALSE
2008,McGirr Christine,FALSE
2006,McHugh-Russell Liam,FALSE
2008,McHugh-Russell Liam,FALSE
2006,McKay John,FALSE
2008,McKay John,FALSE
2011,McKay John,FALSE
2006,McTeague Dan,FALSE
2008,McTeague Dan,FALSE
2011,McTeague Dan,FALSE
2008,Mercer Alan,FALSE
2006,Mercer Alan,FALSE
2006,Metzger Patrick,FALSE
2008,Michael Bernadette,FALSE
2008,Michelson Ellen,FALSE
2011,Michelson Ellen,FALSE
2006,Minna Maria,FALSE
2008,Minna Maria,FALSE
2011,Minna Maria,FALSE
2011,Moffat Andrea,FALSE
2008,Moffat Andrea,FALSE
2008,Molder Adrian,FALSE
2011,Mollahasani Mehdi,FALSE
2011,Molls William,FALSE
2006,Mooney Maurganne,FALSE
2011,Moore Kevin,FALSE
2006,Mostyn Michael,FALSE
2011,Mugnatto-Hamu Adriana,FALSE
2011,Murray Janice,FALSE
2008,Murray Janice,FALSE
2006,Murray Janice,FALSE
2008,Nagy Attila,FALSE
2008,Naqvi Ali,FALSE
2006,Naqvi Ali,FALSE
2011,Nash Peggy,TRUE
2006,Nash Peggy,TRUE
2008,Nash Peggy,TRUE
2011,Newton Sarah,FALSE
2008,Ng Ella,FALSE
2011,Ng Ella,FALSE
2008,Nguyen Kevin,FALSE
2006,O'Brien Mark,FALSE
2011,Oliphant Rob,FALSE
2008,Oliphant Rob,FALSE
2011,Oliver Joe,FALSE
2008,Oliver Joe,FALSE
2011,Opitz Ted,FALSE
2011,Otura George Okoth,FALSE
2011,Ouellette Danielle,FALSE
2008,Papadimitriou Andre,FALSE
2011,Paranchothy Gavan,FALSE
2006,Parker Terry,FALSE
2011,Parker Terry,FALSE
2008,Parker Terry,FALSE
2011,Patchell Nancy,FALSE
2006,Perks Gord,FALSE
2008,Perreault Christina,FALSE
2006,Peterson Jim,FALSE
2006,Philip Valery,FALSE
2006,Prairie Michel,FALSE
2008,Rae Bob,TRUE
2011,Rae Bob,TRUE
2006,Ratansi Yasmin,FALSE
2008,Ratansi Yasmin,FALSE
2011,Ratansi Yasmin,FALSE
2006,Redwood Bill,FALSE
2006,Reford Lewis,FALSE
2008,Richardson John,FALSE
2006,Riddell John,FALSE
2006,Ridge Philip,FALSE
2008,Rishchynski Robert,FALSE
2006,Rishchynski Robert L.,FALSE
2011,Rivero Ana Maria,FALSE
2006,Robertson David,FALSE
2006,Rodden Marcell,FALSE
2008,Rodden Marcell,FALSE
2011,Rodrigues Theresa,FALSE
2006,Rodrigues Theresa,FALSE
2008,Rodrigues Theresa,FALSE
2006,Romano Anthony Sandra,FALSE
2008,Roudgarnia Bahman,FALSE
2006,Rowley Elizabeth,FALSE
2011,Sadikali Akil,FALSE
2011,Sarkar Rana,FALSE
2008,Saroya Bob,FALSE
2011,Saweczko Jilian,FALSE
2008,Saweczko Jilian,FALSE
2008,Schaffer Marion,FALSE
2008,Schwartz Joseph,FALSE
2008,Scott Wayne,FALSE
2011,Scott Wayne,FALSE
2006,Sgro Judy,FALSE
2008,Sgro Judy,FALSE
2011,Sgro Judy,FALSE
2006,Shapcott Michael,FALSE
2006,Silva Mario,FALSE
2008,Silva Mario,FALSE
2011,Silva Mario,FALSE
2008,Simson Michelle,FALSE
2011,Simson Michelle,FALSE
2011,Singh George B.,FALSE
2011,Siow Gin,FALSE
2011,Sitsabaiesan Rathika,FALSE
2008,Sloan Ryan,FALSE
2011,Smith Kevin,FALSE
2011,Smitherman Arthur,FALSE
2006,So Daphne,FALSE
2008,Sparrow David,FALSE
2006,Steele John Brian,FALSE
2006,Strachan Andrew,FALSE
2011,Sullivan Mike,FALSE
2008,Sullivan Mike,FALSE
2006,Summerville Paul,FALSE
2006,Sutton Trevor,FALSE
2006,Szebik George,FALSE
2006,Thomas Andrew C.,FALSE
2006,Thomas David,FALSE
2006,Thompson Brenda,FALSE
2011,Thompson Pauline,FALSE
2011,Thompson Sarah,FALSE
2006,Thompson Sarah,FALSE
2008,Thompson Sarah,FALSE
2011,Tibbin Unblind Kheper Keseb,FALSE
2006,Tindal Chris,FALSE
2006,Tonks Alan,TRUE
2008,Tonks Alan,TRUE
2011,Tonks Alan,TRUE
2011,Train Taylor,FALSE
2006,Tremblay France,FALSE
2011,Trottier Bernard,FALSE
2011,Tsai Harry,FALSE
2006,Vanderheyden John,FALSE
2006,Veerasuntharam Vincent,FALSE
2006,Vettese Sharolyn,FALSE
2006,Volpe Joe,TRUE
2011,Volpe Joe,TRUE
2008,Volpe Joseph,TRUE
2011,von Koenig Katarina,FALSE
2011,Wallace Susan,FALSE
2008,Wallace Susan,FALSE
2011,Walters Audrey,FALSE
2006,Wappel Tom,FALSE
2008,White Liz,FALSE
2006,White Liz,FALSE
2008,Wilcock Georgina,FALSE
2011,Wilcock Georgina,FALSE
2008,Wilner Rochelle,FALSE
2006,Wrzesnewskyj Borys,FALSE
2008,Wrzesnewskyj Borys,FALSE
2011,Wrzesnewskyj Borys,FALSE
2011,Yazdanfar Bahman,FALSE
2008,Yazdanfar Bahman,FALSE
2011,Yovanoff Nicole,FALSE
2011,Zoricic Katarina,FALSE
